number,value,datetime_start,datetime_complete,duration,params_div_factor,params_dropout,params_hidden_size,params_learning_rate,params_max_grad_norm,params_max_lr,params_noise_std,params_num_layers,params_pct_start,params_q_threshold,params_w_high,params_weight_decay,state
0,0.2813782791296641,2026-02-12 22:19:51.167475,2026-02-12 22:20:11.667901,0 days 00:00:20.500426,20.0,0.25,128,0.0010401663679887319,1.0,0.004,0.01,3,0.2,0.7999999999999999,3.5,2.05133826308745e-06,COMPLETE
1,0.2752471516529719,2026-02-12 22:20:11.670405,2026-02-12 22:20:23.654430,0 days 00:00:11.984025,12.5,0.1,224,0.0002049268011541737,0.5,0.007,0.015,1,0.30000000000000004,0.7999999999999999,2.0,4.0596116104843085e-06,COMPLETE
2,0.35939521590868634,2026-02-12 22:20:23.656779,2026-02-12 22:20:51.161170,0 days 00:00:27.504391,10.0,0.1,160,0.000747599299995651,0.9000000000000001,0.003,0.03,3,0.35000000000000003,0.7,4.0,1.5304852121831454e-05,COMPLETE
3,0.2980000749230385,2026-02-12 22:20:51.163645,2026-02-12 22:21:01.307050,0 days 00:00:10.143405,20.0,0.25,128,0.0005595074635794797,0.7,0.006,0.015,1,0.2,0.75,3.5,1.7541893487450809e-06,COMPLETE
4,0.19998321930567423,2026-02-12 22:21:01.309615,2026-02-12 22:21:22.591421,0 days 00:00:21.281806,20.0,0.3,160,0.002074566765675252,0.5,0.01,0.01,1,0.30000000000000004,0.7,2.0,7.568292060167621e-05,COMPLETE
5,1.445449948310852,2026-02-12 22:21:22.594316,2026-02-12 22:21:26.768284,0 days 00:00:04.173968,20.0,0.3,128,0.00040375061884407573,0.4,0.007,0.025,1,0.2,0.7,4.0,3.646439558980721e-06,PRUNED
6,0.6619778275489807,2026-02-12 22:21:26.770322,2026-02-12 22:21:36.421046,0 days 00:00:09.650724,10.0,0.25,64,0.001732053535845956,0.3,0.003,0.015,3,0.25,0.85,3.5,3.487712624545935e-05,PRUNED
7,0.40363267560799915,2026-02-12 22:21:36.423365,2026-02-12 22:21:40.698380,0 days 00:00:04.275015,17.5,0.25,128,0.001211130719559933,0.6000000000000001,0.006,0.025,1,0.2,0.85,3.0,5.948746813219775e-05,PRUNED
8,0.37216488023598987,2026-02-12 22:21:40.700718,2026-02-12 22:21:50.376179,0 days 00:00:09.675461,15.0,0.1,160,0.00015251209898002935,0.9000000000000001,0.008,0.02,2,0.25,0.85,2.5,1.1557352816269873e-06,PRUNED
9,0.6026279032230377,2026-02-12 22:21:50.378806,2026-02-12 22:21:54.074234,0 days 00:00:03.695428,20.0,0.15000000000000002,96,0.00018789279685460533,0.7,0.009000000000000001,0.03,1,0.35000000000000003,0.85,2.0,7.234279845665421e-05,PRUNED
10,0.3642801543076833,2026-02-12 22:21:54.076452,2026-02-12 22:22:08.014062,0 days 00:00:13.937610,15.0,0.3,256,0.004024164423714205,0.3,0.01,0.01,2,0.4,0.75,2.5,1.9062374828215085e-05,PRUNED
11,0.31232572843631107,2026-02-12 22:22:08.016497,2026-02-12 22:22:30.997770,0 days 00:00:22.981273,12.5,0.15000000000000002,224,0.0035997036756336867,0.5,0.01,0.015,2,0.30000000000000004,0.7999999999999999,2.0,7.148659495423888e-06,COMPLETE
12,0.27771565069754917,2026-02-12 22:22:31.000394,2026-02-12 22:22:43.869660,0 days 00:00:12.869266,12.5,0.2,224,0.0002592190478809119,0.5,0.008,0.01,1,0.30000000000000004,0.75,2.0,6.57780283066129e-06,COMPLETE
13,0.32779691616694134,2026-02-12 22:22:43.872382,2026-02-12 22:22:58.099131,0 days 00:00:14.226749,12.5,0.15000000000000002,192,0.0020165168976012714,0.5,0.005,0.015,1,0.35000000000000003,0.7999999999999999,2.5,4.014545768441428e-06,PRUNED
14,0.2446561505397161,2026-02-12 22:22:58.101312,2026-02-12 22:23:20.551602,0 days 00:00:22.450290,17.5,0.2,192,0.0003260670901486472,0.6000000000000001,0.008,0.02,2,0.25,0.7,2.0,3.327528914795917e-05,COMPLETE
15,0.27638952682415646,2026-02-12 22:23:20.553856,2026-02-12 22:23:37.925841,0 days 00:00:17.371985,17.5,0.2,192,0.0003600831593803263,0.8,0.009000000000000001,0.02,2,0.25,0.7,2.5,9.602846193866817e-05,COMPLETE
16,0.22266535212596258,2026-02-12 22:23:37.928271,2026-02-12 22:23:56.993246,0 days 00:00:19.064975,17.5,0.2,192,0.00010698032989695458,0.6000000000000001,0.009000000000000001,0.025,2,0.25,0.7,3.0,3.276848300916813e-05,COMPLETE
17,0.2543836136658986,2026-02-12 22:23:56.996115,2026-02-12 22:24:37.058938,0 days 00:00:40.062823,17.5,0.3,256,0.00011019964187005001,0.4,0.01,0.025,3,0.4,0.75,3.0,3.74078792678274e-05,COMPLETE
18,0.373222753405571,2026-02-12 22:24:37.061233,2026-02-12 22:24:55.612336,0 days 00:00:18.551103,17.5,0.25,160,0.0020753416060783963,0.7,0.009000000000000001,0.025,2,0.30000000000000004,0.7,3.0,1.807069629574428e-05,PRUNED
19,0.2830141931772232,2026-02-12 22:24:55.614663,2026-02-12 22:25:07.700450,0 days 00:00:12.085787,20.0,0.15000000000000002,64,0.0027363509442430854,0.4,0.009000000000000001,0.03,2,0.25,0.7,3.5,4.5515675135951926e-05,COMPLETE
20,0.235057653238376,2026-02-12 22:25:07.702767,2026-02-12 22:25:33.077562,0 days 00:00:25.374795,15.0,0.2,192,0.00010167092208941648,0.6000000000000001,0.01,0.025,2,0.35000000000000003,0.75,2.5,8.216291574612806e-05,COMPLETE
21,0.18194781243801117,2026-02-12 22:25:33.079706,2026-02-12 22:26:21.136252,0 days 00:00:48.056546,15.0,0.2,192,0.00010596885530820901,0.6000000000000001,0.01,0.025,2,0.35000000000000003,0.75,2.5,8.513549784170485e-05,COMPLETE
22,0.23927773535251617,2026-02-12 22:26:21.139039,2026-02-12 22:26:40.612751,0 days 00:00:19.473712,17.5,0.2,160,0.00012810020651351123,0.6000000000000001,0.01,0.02,2,0.35000000000000003,0.7,2.5,5.8174962902136907e-05,COMPLETE
23,0.5691727896531423,2026-02-12 22:26:40.615256,2026-02-12 22:27:03.060871,0 days 00:00:22.445615,15.0,0.15000000000000002,224,0.0005346503566619993,0.8,0.009000000000000001,0.025,3,0.30000000000000004,0.75,3.0,2.8965098262383976e-05,PRUNED
24,0.2201319287220637,2026-02-12 22:27:03.063215,2026-02-12 22:27:15.613661,0 days 00:00:12.550446,15.0,0.2,192,0.0001556761931997954,0.5,0.008,0.03,1,0.30000000000000004,0.7,2.5,9.601703267373896e-05,COMPLETE
25,0.23190356542666754,2026-02-12 22:27:15.615952,2026-02-12 22:27:29.184312,0 days 00:00:13.568360,15.0,0.25,160,0.0001918836773371158,0.4,0.008,0.03,1,0.30000000000000004,0.75,2.0,5.335701856303883e-05,COMPLETE
26,0.5977359960476557,2026-02-12 22:27:29.186651,2026-02-12 22:27:38.686561,0 days 00:00:09.499910,15.0,0.2,96,0.00497068133148691,0.5,0.007,0.03,1,0.4,0.7,2.5,9.654342258975059e-05,PRUNED
27,0.7071094413598379,2026-02-12 22:27:38.688554,2026-02-12 22:27:44.089689,0 days 00:00:05.401135,12.5,0.3,192,0.0010429442300636564,0.4,0.01,0.03,1,0.35000000000000003,0.75,2.5,2.4287331916570803e-05,PRUNED
28,0.303524412214756,2026-02-12 22:27:44.091742,2026-02-12 22:27:57.289918,0 days 00:00:13.198176,15.0,0.2,224,0.0002596513241741519,0.5,0.008,0.03,1,0.35000000000000003,0.7,2.0,6.474284885603e-05,PRUNED
29,0.48431222637494403,2026-02-12 22:27:57.292911,2026-02-12 22:28:02.848597,0 days 00:00:05.555686,15.0,0.25,160,0.00015340360014403227,0.8,0.005,0.01,1,0.30000000000000004,0.7999999999999999,2.5,1.2219011129489277e-05,PRUNED
30,0.1894025020301342,2026-02-12 22:28:02.851511,2026-02-12 22:29:21.283889,0 days 00:01:18.432378,12.5,0.25,256,0.0014494644266238028,0.3,0.009000000000000001,0.025,3,0.4,0.7,2.0,4.5505122619827377e-05,COMPLETE
31,0.22485985606908798,2026-02-12 22:29:21.286196,2026-02-12 22:29:56.362889,0 days 00:00:35.076693,10.0,0.25,256,0.001381710433774446,0.3,0.009000000000000001,0.025,3,0.4,0.7,2.0,9.69719747016062e-05,COMPLETE
32,0.24817471702893576,2026-02-12 22:29:56.365162,2026-02-12 22:30:32.273820,0 days 00:00:35.908658,12.5,0.3,224,0.0008092124258401017,0.3,0.01,0.02,3,0.4,0.7,2.0,7.2175942742716e-05,COMPLETE
33,0.5417917569478353,2026-02-12 22:30:32.276203,2026-02-12 22:30:57.379396,0 days 00:00:25.103193,12.5,0.25,256,0.0027593518349257073,0.5,0.009000000000000001,0.02,3,0.30000000000000004,0.7,2.0,4.196265826243506e-05,PRUNED
34,0.21622158090273538,2026-02-12 22:30:57.381552,2026-02-12 22:31:13.761444,0 days 00:00:16.379892,10.0,0.3,192,0.001314305774786071,1.0,0.01,0.03,1,0.35000000000000003,0.75,2.0,4.779482375568825e-05,COMPLETE
35,0.1849596401055654,2026-02-12 22:31:13.763726,2026-02-12 22:31:49.925282,0 days 00:00:36.161556,10.0,0.3,128,0.0014904184385656737,1.0,0.01,0.025,3,0.35000000000000003,0.75,2.0,4.649716956328711e-05,COMPLETE
36,0.21080209811528525,2026-02-12 22:31:49.927470,2026-02-12 22:32:23.890130,0 days 00:00:33.962660,10.0,0.3,96,0.0007673337703516379,0.9000000000000001,0.01,0.025,3,0.4,0.75,2.0,2.4659593093315398e-05,COMPLETE
37,0.24880668024222055,2026-02-12 22:32:23.892474,2026-02-12 22:32:51.400412,0 days 00:00:27.507938,10.0,0.3,128,0.001664864485653424,1.0,0.01,0.025,3,0.35000000000000003,0.7999999999999999,2.0,5.12821759606831e-05,COMPLETE
38,0.1942328413327535,2026-02-12 22:32:51.402843,2026-02-12 22:33:38.027661,0 days 00:00:46.624818,10.0,0.25,128,0.0005429464022083472,0.7,0.007,0.015,3,0.4,0.75,2.0,1.2979091308889493e-05,COMPLETE
39,1.4980212052663167,2026-02-12 22:33:38.029928,2026-02-12 22:33:50.496118,0 days 00:00:12.466190,10.0,0.25,128,0.0005489333211948208,0.9000000000000001,0.006,0.015,3,0.4,0.75,4.0,9.120291370784045e-06,PRUNED
40,0.2148110680282116,2026-02-12 22:33:50.498293,2026-02-12 22:34:23.531060,0 days 00:00:33.032767,10.0,0.25,96,0.0010106067411963767,0.8,0.004,0.02,3,0.4,0.7999999999999999,2.0,2.296592262734137e-06,COMPLETE
41,0.23106486101945242,2026-02-12 22:34:23.533281,2026-02-12 22:34:57.262195,0 days 00:00:33.728914,10.0,0.3,128,0.0026267376349917836,0.7,0.009000000000000001,0.01,3,0.35000000000000003,0.75,2.0,1.417431050653662e-05,COMPLETE
42,0.4773707588513692,2026-02-12 22:34:57.264387,2026-02-12 22:35:11.445231,0 days 00:00:14.180844,12.5,0.25,160,0.001512761759315538,0.6000000000000001,0.007,0.015,3,0.4,0.75,2.0,6.869147297226931e-05,PRUNED
43,0.22301039472222328,2026-02-12 22:35:11.447509,2026-02-12 22:35:43.826423,0 days 00:00:32.378914,12.5,0.3,128,0.0021039804149655785,0.7,0.01,0.01,3,0.35000000000000003,0.75,2.5,5.41839845653161e-06,COMPLETE
44,0.2105899080634117,2026-02-12 22:35:43.828944,2026-02-12 22:36:24.886005,0 days 00:00:41.057061,20.0,0.25,96,0.0010215781090386724,0.7,0.009000000000000001,0.015,3,0.4,0.7999999999999999,2.0,4.1501369190957754e-05,COMPLETE
45,0.5058404803276062,2026-02-12 22:36:24.888698,2026-02-12 22:36:39.943353,0 days 00:00:15.054655,10.0,0.3,128,0.0004575549128504803,1.0,0.005,0.01,3,0.35000000000000003,0.75,2.0,2.417033625759241e-05,PRUNED
46,0.22432847817738852,2026-02-12 22:36:39.945962,2026-02-12 22:37:06.022266,0 days 00:00:26.076304,12.5,0.25,160,0.003389045528130342,0.3,0.006,0.02,2,0.4,0.75,2.5,7.924136935821943e-05,COMPLETE
47,0.2570916662613551,2026-02-12 22:37:06.024658,2026-02-12 22:37:35.027558,0 days 00:00:29.002900,10.0,0.1,128,0.0018616551568355758,0.4,0.007,0.025,3,0.35000000000000003,0.7,2.0,5.6106085076052575e-05,COMPLETE
48,0.9159637341896693,2026-02-12 22:37:35.029988,2026-02-12 22:37:48.977694,0 days 00:00:13.947706,12.5,0.3,160,0.0023401524131442253,0.6000000000000001,0.008,0.015,2,0.4,0.85,2.0,2.528570093500549e-06,PRUNED
49,0.23808632542689642,2026-02-12 22:37:48.980057,2026-02-12 22:38:12.997837,0 days 00:00:24.017780,12.5,0.25,96,0.000651321294520404,0.9000000000000001,0.01,0.01,3,0.2,0.7,2.5,1.0813303694696964e-05,COMPLETE
